PERIODO,ANCHO,LARGO,GROSOR,PESO
1,9.297727376,6.804057991,6.380078879,37.10458245
1,9.654785581,3.619585869,9.102776787,34.02122657
1,5.377703446,9.044917169,10.59805627,25.98171115
1,14.09867397,7.382033438,11.18529279,29.34339425
1,6.294001099,8.956924612,12.16769766,27.28752574
1,2.870726431,6.086506543,10.91537473,21.76341776
1,6.370802175,6.723618513,14.50322394,29.31162075
1,10.95786606,11.30984578,16.17359958,31.91948001
1,6.277700938,13.87781907,17.65834522,17.18456484
1,11.44744829,6.135949835,16.41093831,29.09739859
1,9.147302054,0.433582936,12.66003521,31.32903046
1,6.241076396,6.332227561,12.0200615,35.3930195
1,7.824761569,8.183001753,10.10983048,26.20636438
1,20.66553909,8.173743355,8.424719644,26.96799005
1,9.558593468,12.05477491,11.7682079,28.59211862
1,7.680498132,7.065961821,15.78505385,28.96508867
1,8.508628004,4.465778081,11.60460289,27.5916718
1,11.82293529,13.6935344,11.18653747,30.06962234
1,9.291939859,5.116140213,10.59043318,26.45114384
1,5.914988195,11.27522773,17.0509028,25.26699914
1,6.046049322,3.92016348,11.99300777,30.58880245
1,9.008948324,1.37723254,5.749000763,27.79949538
1,5.586489534,6.130592475,13.06480785,30.581926
1,8.615566351,3.715241339,13.1545789,34.06156073
1,5.832505369,11.72965799,10.42801624,20.11977283
1,11.63727287,5.34230636,13.58777164,20.96129021
1,9.929255632,7.764897994,8.4840496,20.23758485
1,10.40948163,-0.444529661,10.78623854,34.11351803
1,1.99896523,2.810796164,16.6575928,26.20988855
1,9.112887811,7.584169579,10.22714891,23.11137576
1,11.94274967,9.944725435,6.716053449,25.9148015
1,9.251472084,4.702972778,12.20337104,13.46656474
1,6.593818546,1.991613314,8.845412128,26.30242157
1,10.43976671,13.02958589,12.51657993,19.2493828
1,4.670295321,11.74615632,8.994354052,20.04988287
1,11.35081845,7.113039559,9.380222204,20.64915742
1,13.73723916,-1.076948232,13.00083682,25.1154615
1,9.189711638,2.12074289,12.54718728,20.77424996
1,12.36467093,5.434537763,8.845655053,23.79927698
1,2.4753979,7.799640153,15.98109752,24.76462658
1,6.42471978,14.22221016,10.0918415,18.84192242
1,10.89718247,13.86501444,11.9053747,32.83997352
1,10.10636363,13.92827288,11.76176127,26.49626556
1,12.6724276,3.121399931,14.43822525,30.57716136
1,5.230092909,4.860964007,9.860789445,28.6987314
1,11.53331667,7.082671554,12.5270581,42.2840005
1,11.45943455,1.822077997,12.11092909,24.23627952
1,10.88077185,7.369848564,6.424740847,32.40487058
1,13.55840861,15.04933378,15.16620895,27.22877371
1,8.583769586,11.55555907,8.571308882,26.89440099
1,9.467298368,3.4357791,9.843836921,31.34771787
1,14.60720769,12.53228831,13.30483129,24.91716208
1,6.987348908,8.83469965,12.36657216,28.33571737
1,7.605883767,5.715051231,7.037121962,22.58728554
1,6.724385436,11.30399515,9.505796972,31.96777555
1,14.62149435,8.102603333,11.64247583,26.05825421
1,12.75942591,9.110760069,15.93157645,30.47216186
1,9.072164541,11.34028271,5.387188974,14.82169052
1,16.72573844,3.663659859,12.19731804,26.3750082
1,4.681683203,8.872968991,15.03683235,30.0602767
1,6.851081851,6.129390649,11.80944995,29.19716948
1,12.54729126,3.055008982,13.73382072,25.73904939
1,12.1547478,8.007920993,10.35458948,31.80837278
1,12.44741796,7.266441645,14.86367874,28.19175932
1,9.428662174,5.68118877,10.37114084,23.71930036
1,10.11545252,5.918424846,8.252742219,24.56869186
1,11.57371378,8.665940799,12.85111912,24.04727581
1,15.54498853,0.533935686,13.15791364,29.92252846
1,14.29337374,13.12869305,11.95884195,24.7233472
1,8.19173228,14.20185804,11.15434483,27.68059426
1,7.934909731,7.304833713,13.05959616,30.76797237
1,9.126274168,2.23847233,9.324210001,27.26197365
1,2.284990918,4.565114085,6.403314039,42.9796568
1,7.838435683,6.352961576,13.37173111,28.95031628
1,5.940341529,9.322705091,8.924974507,24.45842522
1,3.483573892,9.221697296,14.39005274,32.74042671
1,3.861859731,10.34519031,16.19166957,28.76982045
1,11.16091273,3.439471415,12.54159241,23.69688575
1,4.507885739,7.203363515,13.08944325,26.17526897
1,15.48859305,6.869810048,5.719413031,25.46437723
1,10.55421348,7.960982308,8.951897068,31.18139927
1,13.97704219,6.563654448,7.403272516,37.1267054
1,14.11283168,10.46938175,15.44048915,28.30694366
1,8.442563482,8.233496947,8.764488455,28.15054403
1,4.076599385,8.912473115,10.06569512,31.75718901
1,22.15086085,22.9019619,14.12564416,16.44028039
1,19.3145601,16.03428728,12.28565001,10.52360181
1,10.49544784,12.99787229,14.27971541,-3.135036632
1,8.593208264,20.33375734,11.46518899,10.64366294
1,16.60939651,18.14676852,12.523607,11.63041734
1,8.88674239,8.887817176,8.210374164,6.346148676
1,11.72227234,8.997038774,14.35263953,3.693378795
1,16.031999,14.05866802,11.1084629,12.00021566
1,12.07186257,14.22483282,16.24367815,14.1315738
1,8.085461246,10.32882378,11.56903202,7.523148715
1,16.70316107,17.34290041,12.80684822,-0.318896216
1,14.15740555,15.10005995,17.24973076,10.39335544
1,12.32587556,14.91095885,11.26877845,8.449018356
1,17.82948007,14.31787298,12.64401411,10.64238835
1,19.45252136,12.81799123,15.69964065,9.144410931
1,15.88336693,16.30652422,10.49565278,11.99916288
1,15.53355072,18.89323239,11.74100638,9.791339358
1,20.70591949,20.00359633,10.51816248,10.38316911
1,11.74798534,16.22979856,17.50794879,9.753420364
1,6.250865523,16.09685639,12.09013919,8.617228313
1,20.24326979,12.89754702,20.03042141,1.681811456
1,9.829611101,15.39106543,12.54526045,11.85140616
1,15.05408698,16.5115888,11.25132746,9.005466955
1,15.79986946,16.5845486,11.73769231,3.217375637
1,13.74099022,15.84810515,15.0036369,12.6294635
1,9.859445726,21.31947133,12.42505687,14.91728651
1,16.90606258,19.59896388,13.14330326,6.684590025
1,20.18953808,14.11776086,10.30765277,15.3775314
1,13.84715539,19.26170996,13.29729134,4.130598425
1,21.91414532,20.44024208,6.962386678,8.042458919
1,19.02565904,14.19920768,11.44361138,2.413667705
1,19.26563349,13.73451106,11.60253285,6.72391533
1,14.56665246,16.91290377,15.83049997,12.41864824
1,12.23054189,20.24728092,11.9318324,2.174779149
1,11.05478721,22.21246878,11.45764831,14.48089827
1,20.73735315,13.70221431,13.6161543,7.289855014
1,13.56662597,11.86724305,13.78959245,8.805726339
1,19.07152887,14.0728611,5.879540354,16.80346698
1,17.30960392,16.13025596,9.832781376,9.247035606
1,16.41441482,5.905814242,12.93235396,15.3442123
1,16.06590058,14.53168746,14.77988738,6.896410561
1,17.56254317,10.47529528,11.51803895,9.69061605
1,10.48402433,12.27018173,11.57393699,17.45783217
1,22.32151479,12.35625309,8.629293148,14.32173309
1,11.01576335,8.400691306,11.92073735,8.899185485
1,15.66619989,22.73420829,12.02760052,9.877458905
1,20.40359305,21.54703653,10.50382941,12.8215886
1,17.25649138,20.76804774,11.99785765,11.32384341
